"","Direct","Indirect","Total"
"EDU",0,0.0121945537623687,0
"Pakistn",0,0.21217958236762,0
"Bngldsh",4.90718576884319e-14,0.0014791270321235,0.208991669767706
"Blck_Af",0,0.112896788004666,0
"INC",0,1.27781973002783e-07,0
"LOGPDENS",0.515858185339271,0.00367636922022774,0.000170835190964169
"SOCHO",0.000105686083299972,0.652807848368643,0.0804360493468521
"DIV",0,0.908543003823993,0
"NONRG",9.86279946602053e-11,1.07538200566637e-10,0.0312159617263406
