"","Direct","Indirect","Total"
"EDU",0,0.0873163482991441,0
"Pakistn",0,0.147755884433565,0
"Bngldsh",1.36557432028894e-13,0.00183124566596438,0.0195588798711985
"Blck_Af",0,0.0560904369462987,0
"INC",0,8.44613623263157e-07,0
"LOGPDENS",0.450975991496583,0.0143146433049608,0.000327053252235254
"SOCHO",3.3260550396097e-06,0.860896114212191,0.0115580818109022
"DIV",0,0.303212441437478,0
"NONRG",1.12515996519846e-10,2.02360350698427e-11,0.011317760840617
