GEO_CODE,Pakistani,Bangladeshi,Back_African
E02004462,0.000247036,0.001729249,0.007658103
E02004463,0,0.001111523,0.010003705
E02004464,0.001344538,0,0.004369748
E02004465,0.00219901,0.002748763,0.004398021
E02004466,0.001781896,0.004989309,0.020313614
E02004467,0,0.005596362,0.007694998
E02004468,0.004447268,0.002223634,0.00476493
E02004469,0.008699435,0.004784689,0.016528926
E02004470,0.001577598,0.003549596,0.019128377
E02004471,0.004991681,0.000665557,0.013311148
E02004472,0,0,0.005639098
E02004473,0.000767165,0.000767165,0.004986575
E02004474,0,0.006129184,0.007072136
E02004475,0.004705882,0.000941176,0.003764706
E02004476,0,0.000785855,0.003536346
E02004477,0,0.000622665,0.00249066
E02004478,0.002249213,0,0.007647323
E02004479,0.001159196,0.001545595,0.008887172
E02004480,0.001906941,0.001525553,0.013348589
E02004481,0,0.001126126,0.001689189
E02004482,0,0.002617801,0.003272251
E02004483,0,0.000403388,0.004437273
E02004484,0,0.001197605,0.003592814
E02004485,0.000830565,0.002076412,0.003322259
E02004486,0.006812478,0.000717103,0.015059161
E02004487,0.003630496,0.004033885,0.016135539
E02004488,0.008803391,0.000652103,0.017932833
E02004489,0.004097241,0.003550942,0.008467632
E02004490,0.009715026,0.009391192,0.020725389
E02004491,0.004667864,0.003590664,0.008976661
E02004492,0.004223369,0.002111685,0.01290474
E02004493,0.007020828,0.01076527,0.01567985
E02004494,0.005492184,0.003802281,0.031896916
E02004495,0.001899696,0.001519757,0.005699088
E02004496,0.016576577,0.005045045,0.014414414
E02004497,0.002387585,0.000795862,0.0051731
E02004498,0.004895645,0.003091987,0.014171605
E02004499,0.005074161,0.0019516,0.007416081
E02004500,0.000680735,0.000680735,0.006126617
E02004501,0.003022453,0.001295337,0.0082038
E02004502,0,0.001540041,0.002566735
E02004503,0.001377885,0,0.003444712
E02004504,0.000948767,0.002530044,0.006325111
E02004505,0.001364256,0.004774898,0.004774898
E02004506,0,0,0.004805382
E02004507,0.003630927,0.001922255,0.017300299
E02004508,0.00139795,0,0.000931966
E02004509,0.003910833,0.0023465,0.016425499
E02004512,0.008209452,0.00909696,0.018859552
E02004513,0.006688963,0.002926421,0.04243311
E02004514,0.00578369,0.001156738,0.008675535
E02004515,0,0,0.001740644
E02004516,0.00244449,0.003666735,0.011407619
E02004517,0.001379786,0.001724733,0.004484305
E02004518,0.004342677,0.005132254,0.009474931
E02004519,0.000437254,0.003935286,0.00218627
E02004520,0.001344809,0.000806885,0.030930608
E02004521,0.001702128,0.001985816,0.013049645
E02004522,0.003275384,0.006046863,0.036281179
E02004523,0.000564493,0.002257973,0.018063788
E02004524,0.000385208,0,0.002696456
E02004525,0,0.000863558,0
E02004526,0,0,0.002704164
E02004527,0.00292113,0.00162285,0.005193119
E02004528,0.001606426,0,0.003212851
E02004529,0.003381643,0,0.001932367
E02004530,0,0.002859867,0.003336511
E02004531,0.001369238,0.00182565,0.011410315
E02004532,0.003611738,0.001354402,0.005869074
E02004533,0.005758157,0.002303263,0.028790787
E02004534,0.005473454,0,0.013683634
E02004535,0.001177163,0.002354326,0.021188935
E02004536,0.002089864,0.004179728,0.004179728
E02004537,0.00511509,0.001420858,0.021028701
E02004538,0.00936273,0.003020236,0.00936273
E02004539,0.007348243,0.00543131,0.018530351
E02004540,0.011418533,0.00307422,0.006587615
E02004541,0.013655697,0.001119319,0.010297739
E02004542,0.034419458,0.001376778,0.013308857
E02004543,0.057198444,0.017898833,0.045525292
E02004544,0.002397123,0.001598082,0.01398322
E02004545,0.007293946,0.007293946,0.029540481
E02004546,0.014084507,0.01584507,0.056690141
E02004547,0.01702509,0.003285544,0.038530466
E02004548,0.006617821,0.002363507,0.015599149
E02004549,0.0041841,0.00488145,0.029986053
E02004550,0.010275108,0.005634736,0.066622473
E02004551,0.012354923,0.002620741,0.035192812
E02004552,0.009055627,0.001724881,0.03622251
E02004553,0.002738788,0.002738788,0.047244094
E02004554,0.005954466,0.001751313,0.069702277
E02004555,0,0,0.003123373
E02004556,0,0.000982801,0.003931204
E02004557,0,0.002019522,0.002019522
E02004558,0.000953743,0.002384359,0
E02004559,0,0.007730963,0
E02004560,0,0,0.001106603
E02004561,0,0.000320513,0.001602564
E02004562,0,0.000845666,0.001268499
E02004563,0,0,0.003303965
E02004564,0.001159196,0.000772798,0.003863988
E02004565,0,0,0.003144654
E02004566,0,0.001909308,0.007159905
E02004567,0.000784929,0,0.004317111
E02004568,0.001712818,0.001998287,0.003711105
E02004569,0,0.00268714,0.004990403
E02004570,0,0,0.010693343
E02004571,0.004043672,0.001617469,0.003639304
E02004572,0,0,0.005191693
E02004573,0,0,0.00486618
E02004574,0,0,0.001594261
E02004575,0.000274198,0.000548396,0.003290376
E02004576,0,0,0.003023432
E02004577,0,0,0.002546149
E02004578,0.002350176,0.003525264,0.005875441
E02004579,0,0.002094241,0.003141361
E02004580,0,0.003253796,0.001807664
E02004581,0,0,0
E02004582,0.000577367,0.001154734,0
E02004583,0,0,0.001567398
E02004584,0,0.00159109,0.00159109
E02004585,0.000421763,0.001687052,0.002530578
E02004586,0.001262626,0.001683502,0.005050505
E02004587,0,0.001542615,0.002313922
E02004588,0.000946522,0.003786086,0.007572172
E02004589,0,0.000880282,0.003961268
E02004590,0,0,0.001776199
E02004591,0.000911162,0.001822323,0
E02004592,0.001400233,0.003267211,0.003267211
E02004593,0.000389105,0,0.001945525
E02004594,0,0.003584229,0.007964954
E02004595,0.001661524,0.003797769,0.001186803
E02004596,0,0.002771043,0.006927607
E02004597,0,0.002899601,0.005074302
E02004598,0.000563698,0.001691094,0.007328072
E02004599,0,0.0019992,0.004798081
E02004600,0.003194888,0.003651301,0.008215427
E02004601,0,0,0.004663558
E02004602,0,0.003694126,0.009974141
E02004603,0.002714441,0.008414767,0.011672096
E02004604,0.002723971,0.003026634,0.00877724
E02004605,0.000912825,0.000456413,0.010041077
E02004606,0.003143894,0.007738815,0.009673519
E02004607,0.002134725,0.003320683,0.007590133
E02004608,0.001278772,0.001278772,0.011935209
E02004609,0.001514005,0.004163512,0.003785011
E02004610,0.001362398,0.002043597,0.00613079
E02004611,0.001518219,0.001518219,0.003289474
E02004612,0.001176125,0.002940312,0.002058218
E02004613,0.001066098,0.001066098,0.001066098
E02004614,0.001139601,0,0.001139601
E02004615,0,0,0.001845018
E02004616,0,0,0.003492433
E02004617,0.000838574,0.002096436,0.003354298
E02004618,0.000451671,0.000903342,0.000903342
E02004619,0,0,0.006784261
E02004620,0,0,0.000756144
E02004621,0.000932836,0,0.009794776
E02004622,0.003252033,0.00203252,0.008130081
E02004623,0,0.000856898,0.002142245
E02004624,0,0,0.001059883
E02004625,0,0.001355014,0.002371274
E02004626,0,0,0.001026694
E02004627,0,0,0.001192606
E02004628,0,0,0.000796813
E02004629,0,0,0.000955566
E02004630,0.003125,0,0
E02004631,0,0,0
E02004632,0.000621118,0,0
E02004633,0,0,0.000779727
E02004634,0,0,0.000598623
E02004635,0.001344086,0,0.011648746
E02004636,0.006426276,0.004284184,0.003570154
E02004637,0.005761067,0.003941783,0.021831413
E02004638,0.002925402,0,0.003412969
E02004639,0.00945122,0.004573171,0.028963415
E02004640,0.02928615,0.035692495,0.032946919
E02004641,0.003280225,0.000937207,0.004686036
E02004642,0.002567394,0.000427899,0.00427899
E02004643,0.009849184,0.011695906,0.0236996
E02004644,0.004187855,0.000897398,0.008674843
E02004645,0.002642706,0.001321353,0.002378436
E02004646,0.00538902,0.001347255,0.019872011
E02004647,0.005073281,0.000563698,0.007328072
E02004648,0,0.000535619,0.001606856
E02004649,0.002064897,0,0.005014749
E02004650,0.00204918,0.000409836,0.012704918
E02004651,0.000354736,0.00248315,0.0049663
E02004652,0,0,0
E02004653,0,0,0
E02004654,0,0.000515996,0.001805986
E02004655,0,0,0.003707824
E02004656,0.00193564,0.00048391,0.00387128
E02004657,0.000878735,0,0.001757469
E02004658,0,0,0.00133452
E02004659,0,0,0
E02004660,0,0,0
E02004661,0.000392311,0.001961554,0.000784621
E02004662,0,0,0
E02004663,0,0.005018248,0
E02004664,0.000402091,0,0.004020909
E02004665,0,0.000752729,0.000752729
E02004666,0.000424178,0.001272534,0.002969247
E02004667,0,0.001177163,0.002060035
E02004668,0,0,0.000447628
E02004669,0,0.002587992,0
E02004670,0.001353791,0.000676895,0.000902527
E02004671,0.002857143,0,0.002285714
E02004672,0.001999556,0.000666519,0.005332148
E02004673,0.005211726,0.002605863,0.003908795
E02004674,0.00123839,0.001857585,0.004643963
E02004675,0.00115119,0.001918649,0.005755948
E02004676,0.001566171,0.000783085,0.003132341
E02004677,0.000855432,0,0.002994012
E02004678,0.000840689,0.002101723,0.002942413
